Pair	K562_Ctcf_E	K562_Dnase1_E	K562_H3k27ac_E	K562_H3k27me3_E	K562_H3k36me3_E	K562_H3k4me2_E	K562_H3k9ac_E	K562_H4k20me1_E	K562_Rad21_E	K562_Tbp_E	K562_Ctcf_P	K562_Dnase1_P	K562_H3k27ac_P	K562_H3k27me3_P	K562_H3k36me3_P	K562_H3k4me2_P	K562_H3k9ac_P	K562_H4k20me1_P	K562_Rad21_P	K562_Tbp_P	K562_Correlation	K562_Exp	Class
chr11_116923482_116930119-chr11_116707939_116710822	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0.111111	0.000873	0
chr11_116930208_116932996-chr11_116640802_116647668	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	-0.345244	0.402858	0
chr11_131166803_131167037-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0.048496	0	0
chr11_131259208_131259555-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_131417852_131430539-chr11_131324149_131325459	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.34253e-16	0	0
chr11_131480460_131482893-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_1743416_1745958-chr11_2155756_2164252	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.862295	0.000633	0
chr11_1748200_1754043-chr11_2155756_2164252	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.27477	0.000633	0
chr11_1754043_1756644-chr11_1956483_1959542	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.995039	0.000855	0
chr11_1756644_1765301-chr11_1959542_2001735	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0.109653	1.2411	0
chr11_1794944_1795231-chr11_1879294_1891522	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0.236666	0.004598	0
chr11_1794944_1795231-chr11_1956483_1959542	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0.122919	0.000855	0
chr11_1795231_1798495-chr11_2175866_2185892	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0.283627	0.000633	0
chr11_1837721_1838610-chr11_1765301_1774449	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0.235083	0.486423	0
chr11_1920679_1921067-chr11_1774449_1789267	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0.3386	0.486423	0
chr11_2029382_2043691-chr11_1879294_1891522	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0.627962	0.004598	0
chr11_2029382_2043691-chr11_2289141_2297038	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0.247276	0.004998	0
chr11_2096361_2099392-chr11_2319679_2334460	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	-0.449852	0.056087	0
chr11_2106789_2114245-chr11_1879294_1891522	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0.474491	0.004598	0
chr11_2121896_2122591-chr11_2289141_2297038	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0.446389	0.004998	0
chr11_2124275_2133523-chr11_1841988_1867907	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0.1716	0.000286	0
chr11_2202010_2203587-chr11_1841988_1867907	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0.173854	0.000286	0
chr11_2232506_2238960-chr11_1956483_1959542	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0.992603	0.000855	0
chr11_2238960_2240538-chr11_2319679_2334460	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	-0.449852	0.056087	0
chr11_2265651_2266262-chr11_1959542_2001735	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0.109653	1.2411	0
chr11_2297038_2309640-chr11_1959542_2001735	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0.1983	1.2411	0
chr11_4820112_4824892-chr11_4934702_4937867	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_4979189_4988077-chr11_5076469_5081549	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6.45367e-17	0	0
chr11_4979189_4988077-chr11_5269801_5272427	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1.70304e-16	645.337	0
chr11_4979189_4988077-chr11_5421776_5424121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6.3595e-17	0	0
chr11_5041786_5043550-chr11_5146608_5154908	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	3.29805e-17	0	0
chr11_5083896_5087036-chr11_5714465_5718134	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64514e-16	0.0141	0
chr11_5102660_5106360-chr11_5218976_5222789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr11_5106677_5109690-chr11_5218976_5222789	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_5106677_5109690-chr11_5321718_5325668	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.979885	0
chr11_5134474_5137223-chr11_5243048_5250847	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1.90129e-16	0.005055	0
chr11_5137223_5140360-chr11_5505728_5514500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.001093	0
chr11_5159254_5162227-chr11_5407716_5412355	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1.17675e-16	0.000388	0
chr11_5181580_5190487-chr11_4839859_4849537	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.216978	0	0
chr11_5181580_5190487-chr11_5421776_5424121	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.216978	0	0
chr11_5296896_5300251-chr11_5600743_5604452	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9.88523e-17	0	0
chr11_5300251_5302171-chr11_5407716_5412355	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.15305	0.000388	0
chr11_5302171_5304497-chr11_4934702_4937867	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.269219	0	0
chr11_5304497_5305483-chr11_5250847_5268367	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0.981077	2.76009	0
chr11_5307389_5310698-chr11_4900708_4903421	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0.673344	0	0
chr11_5307389_5310698-chr11_5616559_5618985	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0.702569	0.138129	0
chr11_5316360_5318342-chr11_5421776_5424121	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.912399	0	0
chr11_5316360_5318342-chr11_5707362_5712027	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.152224	0.364169	0
chr11_5355850_5356671-chr11_5250847_5268367	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0.755709	2.76009	0
chr11_5356671_5357148-chr11_5469844_5475173	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.0642217	0.000362	0
chr11_5357148_5363591-chr11_4900708_4903421	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.242158	0	0
chr11_5368290_5368552-chr11_5460021_5463864	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.980906	0.062911	0
chr11_5390022_5391947-chr11_5343856_5346587	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.166655	0.126707	0
chr11_5390022_5391947-chr11_5469844_5475173	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0.262603	0.000362	0
chr11_5391947_5392846-chr11_5666977_5671653	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07941e-16	1000	0
chr11_5398331_5406514-chr11_4839859_4849537	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.556878	0	0
chr11_5398331_5406514-chr11_5076469_5081549	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.217156	0	0
chr11_5406514_5407716-chr11_5218976_5222789	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18153e-17	0	0
chr11_5415947_5416099-chr11_5666977_5671653	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.84766e-17	1000	0
chr11_5457537_5458548-chr11_5527719_5533869	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0.252539	1000	0
chr11_5458548_5460001-chr11_5421776_5424121	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
chr11_5458548_5460001-chr11_5721056_5732713	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.111111	0.0141	0
chr11_5482799_5488942-chr11_5505728_5514500	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.876507	0.001093	0
chr11_5496671_5497063-chr11_5363591_5368290	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.895258	0.978288	0
chr11_5496671_5497063-chr11_5666977_5671653	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.02326e-17	1000	0
chr11_5502379_5505643-chr11_5218976_5222789	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_5502379_5505643-chr11_5505728_5514500	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0.001093	0
chr11_5505643_5505728-chr11_5527719_5533869	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	-0.357271	1000	0
chr11_5522778_5523279-chr11_5269801_5272427	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0.726886	645.337	0
chr11_5523279_5524626-chr11_5343856_5346587	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0.519865	0.126707	0
chr11_5550852_5554268-chr11_5666977_5671653	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79548e-17	1000	0
chr11_5550852_5554268-chr11_5721056_5732713	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.216949	0.0141	0
chr11_5554268_5557754-chr11_5371933_5376337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.94627e-17	0.000437	0
chr11_5584754_5586716-chr11_5243048_5250847	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1.90129e-16	0.005055	0
chr11_5584754_5586716-chr11_5600743_5604452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr11_5683012_5685700-chr11_5666977_5671653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0
chr11_5685700_5689000-chr11_4900708_4903421	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1.03659e-16	0	0
chr11_5685700_5689000-chr11_5343856_5346587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5.38159e-17	0.126707	0
chr11_5685700_5689000-chr11_5616559_5618985	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1.75276e-16	0.138129	0
chr11_64197420_64206402-chr11_64535815_64538326	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.159034	1.15751	0
chr11_64222688_64224898-chr11_64356433_64395036	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0.655751	0.001149	0
chr11_64222688_64224898-chr11_64489786_64499245	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	-0.161741	0.001149	0
chr11_64222688_64224898-chr11_64519906_64523887	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0.214327	0.012637	0
chr11_64226475_64233213-chr11_64538326_64543055	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0.216075	1.15751	0
chr11_64233213_64233404-chr11_64501239_64517861	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	-0.24825	0.273416	0
chr11_64233404_64254719-chr11_64517861_64519906	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	-0.207739	0.012637	0
chr11_64276938_64282570-chr11_64356433_64395036	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0.644273	0.001149	0
chr11_64283665_64292231-chr11_64535815_64538326	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.238544	1.15751	0
chr11_64307888_64312302-chr11_64642645_64655002	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	-0.732464	0.391323	0
chr11_64437729_64442269-chr11_64356433_64395036	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0.66397	0.001149	0
chr11_64437729_64442269-chr11_64501239_64517861	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	-0.209218	0.273416	0
chr11_64437729_64442269-chr11_64620201_64626490	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	-0.267294	0.391323	0
chr11_64464888_64468697-chr11_64415880_64426617	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0.217534	0.001149	0
chr11_64464888_64468697-chr11_64642645_64655002	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	-0.732464	0.391323	0
chr11_64468697_64476269-chr11_64544826_64559210	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0.307135	1.15751	0
chr11_64485148_64487184-chr11_64538326_64543055	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0.0732831	1.15751	0
chr11_64485148_64487184-chr11_64620201_64626490	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	-0.403814	0.391323	0
chr11_64559210_64562275-chr11_64519906_64523887	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0.768291	0.012637	0
chr11_64559210_64562275-chr11_64626490_64631647	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0.825596	0.391323	0
chr13_113292841_113293660-chr13_113744147_113753700	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0.600189	0.000464	0
chr13_113324265_113328031-chr13_113638985_113646961	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.625335	0.000464	0
chr13_113328031_113328740-chr13_113342742_113346444	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	-0.357483	0.075698	0
chr13_113360063_113368981-chr13_113686689_113714650	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	-0.215411	0.000464	0
chr13_113380054_113380317-chr13_113551592_113558711	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0.283978	0.000464	0
chr13_113428631_113436687-chr13_113551592_113558711	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.29941e-16	0.000464	0
chr13_113496478_113497139-chr13_113503767_113513563	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.075698	0
chr13_113513563_113514307-chr13_113686689_113714650	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0.253084	0.000464	0
chr13_113513563_113514307-chr13_113744147_113753700	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.166665	0.000464	0
chr13_113522701_113523628-chr13_113714650_113727902	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	4.17878e-17	0.000464	0
chr13_113542822_113546320-chr13_113551592_113558711	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.892609	0.000464	0
chr13_113558711_113561249-chr13_113714650_113727902	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0.577279	0.000464	0
chr13_113561249_113564435-chr13_113551592_113558711	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.892609	0.000464	0
chr13_113561249_113564435-chr13_113714650_113727902	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0.577279	0.000464	0
chr13_113564435_113567711-chr13_113618557_113623811	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.000464	0
chr13_113567711_113586862-chr13_113714650_113727902	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0.43059	0.000464	0
chr13_113586862_113599247-chr13_113638985_113646961	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.378686	0.000464	0
chr13_113586862_113599247-chr13_113646961_113662019	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0.575824	0.000464	0
chr13_113624848_113631771-chr13_113744147_113753700	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.670423	0.000464	0
chr13_113662019_113662121-chr13_113686689_113714650	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0.494697	0.000464	0
chr13_113727902_113729977-chr13_113294757_113305233	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0.329584	0	0
chr13_113727902_113729977-chr13_113678635_113686689	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.437178	0.000464	0
chr13_113729977_113734803-chr13_113618557_113623811	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.943025	0.000464	0
chr13_113729977_113734803-chr13_113646961_113662019	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0.373948	0.000464	0
chr13_30650006_30651401-chr13_30879528_30882380	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	-0.301598	0.088965	0
chr13_30671603_30671874-chr13_30879528_30882380	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	-0.301598	0.088965	0
chr13_30751956_30765232-chr13_30879528_30882380	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0.00701542	0.088965	0
chr15_43733210_43733538-chr15_43889977_43895899	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.257279	0.012801	0
chr15_43764585_43764657-chr15_43802874_43806906	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	-0.448936	0.894693	0
chr15_43765427_43768155-chr15_43782117_43785993	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0.26803	0.894693	0
chr15_43768155_43768979-chr15_43748109_43748557	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.894693	0
chr15_43785993_43792489-chr15_44062234_44062579	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.214425	1.80928	0
chr15_43814517_43819562-chr15_44069261_44073457	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0.0507655	16.1456	0
chr15_43814517_43819562-chr15_44089990_44092692	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0.567309	0.264379	0
chr15_43825784_43834250-chr15_43802874_43806906	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	-0.448936	0.894693	0
chr15_43915266_43915347-chr15_44069261_44073457	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0.342603	16.1456	0
chr15_44015047_44015129-chr15_43889977_43895899	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.012801	0
chr15_44015129_44020909-chr15_44069261_44073457	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0.342603	16.1456	0
chr15_44042522_44044200-chr15_43748109_43748557	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.895641	0.894693	0
chr15_44042522_44044200-chr15_44080886_44089111	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0.218732	16.1456	0
chr15_44042522_44044200-chr15_44145708_44151093	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.895641	0.504302	0
chr15_44044200_44049293-chr15_43782117_43785993	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	-0.373344	0.894693	0
chr15_44073457_44074989-chr15_43889977_43895899	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.72931e-16	0.012801	0
chr15_44128499_44135043-chr15_44034348_44042259	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	-0.120271	1.80928	0
chr15_44128499_44135043-chr15_44089990_44092692	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0.332969	0.264379	0
chr15_44135043_44137717-chr15_44034348_44042259	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	-0.120271	1.80928	0
chr15_44193554_44195504-chr15_44089990_44092692	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0.124169	0.264379	0
chr15_44195504_44196431-chr15_44092692_44100030	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	-0.301896	0.573917	0
chr15_44224230_44230040-chr15_44092692_44100030	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	-0.359491	0.573917	0
chr16_150250_151499-chr16_227105_231771	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0.489419	21.805	0
chr16_150250_151499-chr16_231771_245995	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0.453459	1.13943	0
chr16_155258_160532-chr16_112848_115913	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0.619786	0.24061	0
chr16_155258_160532-chr16_277803_285342	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0.70249	1.13943	0
chr16_346060_349199-chr16_71140_75093	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.164184	1.4467	0
chr16_370529_374539-chr16_125725_134450	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0.807359	0.732275	0
chr16_392110_394890-chr16_420925_432671	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0.150868	2.88464	0
chr16_412386_413010-chr16_207784_223301	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0.283175	21.2281	0
chr16_505127_507074-chr16_110870_112848	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0.165061	0.24061	0
chr16_505127_507074-chr16_252186_263354	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.149233	1.13943	0
chr16_507074_514366-chr16_180935_191222	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0.677519	0.204734	0
chr18_61509684_61513366-chr18_61636347_61637821	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.111111	0.001647	0
chr19_54400693_54404436-chr19_54738658_54764091	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0.289958	0.000682	0
chr19_54420356_54421356-chr19_54463218_54469094	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0.919655	0	0
